;New York;Los Angeles;Chicago;Miami;Dallas;Philadelphia;Houston;Washington;Atlanta;Boston;Phoenix;Seattle;San Francisco;Detroit;San Diego;Minneapolis;Tampa;Denver;Brooklyn;Queens;Baltimore;Riverside;Saint Louis;Las Vegas;Portland;San Antonio;Sacramento;San Jose;Orlando;Cleveland;Pittsburgh;Cincinnati;Manhattan;Austin;Kansas City;Indianapolis;Columbus;Virginia Beach;Charlotte;Bronx;Milwaukee;Providence;Jacksonville;Salt Lake City;Nashville;Memphis;Richmond;New Orleans;Raleigh;Louisville;Oklahoma City;Bridgeport;Buffalo;Hartford;Fort Worth;Tucson;El Paso;Honolulu;Omaha;McAllen;Albuquerque;Birmingham;Dayton;Rochester;Sarasota;Fresno;Allentown;Tulsa;Concord;Cape Coral;Springfield;Colorado Springs;Charleston;Grand Rapids;Mission Viejo;Albany;Knoxville;Baton Rouge;Bakersfield;Ogden;New Haven;Columbia;Akron;Provo;Worcester;Mesa;Palm Bay;Toledo;Murrieta;Wichita;Des Moines;Staten Island;Long Beach;Greenville;Little Rock;Harrisburg;Denton;Madison;Reno;Port Saint Lucie;Oakland;Winston-Salem;Indio;Durham;Syracuse;Chattanooga;Lancaster;Spokane;Palm Coast;Arlington;Bonita Springs;Poughkeepsie;Stockton;Oxnard;Augusta;Scranton;Boise;Modesto;Kissimmee;Youngstown;Aurora;Anaheim;Lancaster;Victorville;Pensacola;Fayetteville;Corpus Christi;Jackson;Greensboro;Flint;Santa Ana;Fort Wayne;Ann Arbor;Fayetteville;Santa Rosa;Lansing;Mobile;Lexington;Huntsville;Santa Clarita;Asheville;Saint Paul;Fort Collins;Antioch;Henderson;Trenton;Lakeland;Shreveport;Davenport;Springfield;
Phoenix;3446.03;586.474;2324.84;3185.07;1427.3;3342.65;1633.14;3180.74;2552.68;3686.33;0;1781.66;1043.82;2706.66;475.469;2047.95;2888.46;941.475;3443.88;3456.85;3215.41;492.139;2036.03;413.395;1606.19;1362.83;1008.64;975.913;2972.69;2805.12;2934.21;2535.78;3442.72;1399.65;1683.89;2404.64;2675.07;3276.59;2862.27;3451.27;2342.68;3657.57;2881.67;801.305;2319.87;2033.17;3144.3;2125.4;3052.91;2427.82;1350.6;3508.26;3059.27;3552.59;1373.65;194.002;562.938;4674.99;1650.66;1561.86;527.911;2337.78;2569.5;3162.67;2904.79;785.706;3314.99;1502.13;1018.54;2983.8;3565.85;881.973;2978.42;2518.87;515.513;3465.94;2575.11;2002.94;666.784;851.353;3531.22;2870.59;2812.25;743.114;3626.7;39.2834;3053.54;2652.44;472.617;1407.19;1850.13;3426.89;562.296;2727.14;1817.31;3194.61;1386.98;2234.29;959.493;3106.06;1027.13;2905.47;384.103;3028.19;3279.45;2463.11;3243.34;1629.86;2945.66;1395.49;3015.34;3449.67;964.702;658.268;2774.66;3303.09;1171.37;923.369;2972.11;2885.34;946.398;534.32;573.78;496.466;2367.71;1657.04;1548.22;2042.4;2944.43;2675.14;536.412;2512.61;2653.61;3031.23;1097;2598.28;2275.15;2530.93;2339.27;598.242;2703.27;2058.02;994.263;1002.65;382.285;3374.35;2931.52;1707.79;2083.76;1747.87;
Seattle;3871.76;1537.1;2786;4393.01;2704.3;3817.92;3037.34;3737.3;3501.99;3999.34;1781.66;0;1096.97;3103.85;1701.8;2238.61;4062.85;1647.1;3872.23;3878.34;3745.28;1576.22;2764.3;1393.58;233.051;2868.38;1009.18;1148.11;4105.06;3253.24;3433.05;3163.1;3864.04;2844.86;2418.71;3005.73;3231.32;3936.07;3672.56;3868.01;2709.45;3999.57;3943.82;1123.23;3170.14;3007.05;3781.47;3378.5;3796.42;3133;2450.82;3900.22;3397.34;3908.97;2667.08;1972.84;2209.6;4310.65;2189.97;3172.98;1902.99;3344.98;3151.28;3476.71;4106.22;1222.8;3761.35;2515.02;1073.23;4199.07;3902.17;1717.41;3894.66;2886.92;1606.31;3782.38;3392.53;3267.03;1391.03;1085.42;3914.18;3743.07;3284.71;1182.76;3948.47;1813.77;4191.11;3101.79;1620.26;2307.59;2355.56;3860.84;1575.13;3582.46;2862.92;3672.97;2646.2;2601.95;919.255;4264.57;1093.17;3658.81;1625.95;3767.86;3591.52;3354.51;3728.89;366.418;4033;2688.11;4236.45;3820.87;1075.57;1515.61;3701.8;3705.88;651.134;1115.34;4112.88;3349.3;1660.79;1577.34;1478.29;1513.53;3540.66;2641.52;3090.76;3188.08;3691.69;3030.99;1587.98;3012.94;3061.79;3818.5;1020.64;2979.83;3457.65;3228.97;3276.63;1502.55;3521.33;2251.41;1581.98;1073.02;1423.36;3834.02;4093.18;2928.96;2580.84;2629.69;
San Francisco;4138.86;544.011;2983.14;4168.79;2387.13;4054.33;2641.55;3922.92;3435.58;4335.2;1043.82;1096.97;0;3356.47;729.827;2547.3;3857.74;1536.9;4137.82;4148.11;3947.04;622.121;2800.93;659.899;865.378;2390.01;124.032;72.8098;3930.56;3483.57;3641.5;3283.17;4133.45;2412.88;2424.18;3133.41;3397.05;4065.86;3700.6;4140.21;2956.28;4318.91;3814.65;964.598;3153.87;2904.89;3920.06;3102.34;3870.18;3204.54;2232.92;4187.79;3697.49;4217.28;2336.8;1222.85;1599.95;3848.8;2288.46;2605.45;1441.77;3235.41;3298.02;3793.81;3882.38;258.138;4012.79;2357.57;45.5882;3966.62;4221.74;1545.28;3861.45;3144.38;631.952;4109.35;3406.16;2980.01;404.936;977.432;4207.38;3733.83;3502.26;972.5;4277.79;1083.1;4014.5;3324.05;664.303;2200.84;2492.23;4122.8;584.784;3579.06;2707.32;3902.61;2338;2840.52;300.871;4074.3;20.2656;3722.02;716.568;3843.11;3914.18;3319.98;3956.27;1174.95;3888.48;2359.45;4000.27;4117.83;102.329;492.682;3656.08;3980.71;834.152;127.4;3932.59;3574.68;1549.32;600.481;512.271;580.977;3325.29;2511.38;2585.14;2980.7;3759.77;3303.61;607.454;3200.68;3305.88;3865.58;80.1333;3234.86;3233.42;3309.38;3209.71;513.297;3539.35;2559.82;1527.54;61.9819;686.4;4080.1;3897.7;2660.21;2742.24;2562.81;
Detroit;786.157;3191.44;382.907;1864.57;1604.54;716.787;1779.55;642.6;965.495;986.783;2706.66;3103.85;3356.47;0;3154.54;865.711;1601.16;1843.1;785.604;794.683;643.93;3117.73;733.263;2831.94;3152.5;1991.06;3244.96;3326.44;1554.22;154.917;338.601;379.384;780.006;1872.59;1029.42;386.026;266.759;871.664;821.726;786.071;404.449;965.161;1346.06;2392.91;759.776;1004.48;721.677;1498.69;823.477;516.231;1461.74;831.49;352.629;862.14;1643.88;2691.98;2365.71;7202.19;1078.98;2263.99;2187.37;1036.39;303.77;456.109;1673.61;3179.8;665.344;1301.17;3311.66;1752.99;869.374;1863.74;1099.2;218.408;3156.11;762.691;716.943;1507.98;3182.15;2384.46;850.913;947.642;195.439;2384.42;927.9;2686.32;1615.99;89.283;3120.22;1317.87;872.718;771.751;3187.17;841.631;1170.26;569.484;1596.36;519.42;3077.2;1697.38;3336.55;739.862;3033.71;798.477;573.048;834.64;625.397;2737.53;1437.88;1635.55;1786.2;761.705;3254.96;3250.73;1006.91;624.949;2680.01;3243.29;1572.89;248.808;1832.59;3160.63;3143.43;3084.38;1376.7;1181.91;2079.27;1282.61;753.769;85.9666;3167.97;222.29;53.0644;886.653;3350.69;124.938;1375.8;496.237;907.989;3183.78;759.027;852.833;1836.25;3294.54;2823.29;736.379;1596.53;1449.38;626.846;1043.28;
San Diego;3905.23;185.822;2771.68;3644.62;1899.42;3804.5;2088.33;3646.51;3028.14;4138.72;475.469;1701.8;729.827;3154.54;0;2451.53;3353.41;1339.06;3903.25;3915.83;3679.82;125.649;2500.39;414.517;1490.04;1806.2;748.583;657.149;3440.26;3259.14;3393.89;3000.05;3901.56;1853.99;2141.15;2865.34;3136.02;3748.02;3336.77;3909.85;2779.8;4112.11;3353.7;996.724;2793.34;2508.29;3614.11;2590.65;3526.34;2895.71;1824.99;3965.46;3506.87;4007.36;1845.5;590.374;1009.95;4200.65;2084.51;1964.39;998.099;2813.09;3031.01;3609.39;3367.22;502.552;3774.55;1974.98;722.475;3444.22;4019.08;1298.97;3453.8;2960.25;99.7159;3916.46;3048.82;2468.66;331.153;1039.27;3987.92;3345.96;3268.41;958.236;4079.29;507.257;3520.21;3104.3;82.6069;1871.12;2288.19;3886.53;145.105;3202.13;2292.73;3655.39;1860.45;2668.55;785.973;3570.76;719.257;3378.63;130.016;3501.41;3727.46;2938.08;3705.06;1649.88;3416.15;1867.09;3474.89;3904.68;686.44;243.888;3250.1;3759.21;1200.01;640.007;3439.07;3341.73;1346.86;131.206;228.79;189.85;2836.84;2130.4;1975.6;2515.4;3417.57;3118.35;122.951;2966.75;3101.65;3505.69;802.412;3042.67;2744.41;2999.41;2814.57;217.436;3177.48;2462.47;1373.25;711.817;402.358;3835.39;3397.18;2179.91;2528.39;2217.54;
Minneapolis;1642.69;2455.57;569.151;2432.02;1386.32;1581.61;1697.8;1499.96;1457.19;1803.26;2047.95;2238.61;2547.3;865.711;2451.53;0;2116.07;1113.79;1642.72;1650.14;1506.76;2393.4;746.741;2086.12;2288.1;1783.31;2430.56;2524.94;2113.62;1014.65;1195.04;969.788;1635.61;1676.85;657.939;820.906;1007.51;1708.19;1511.96;1640.5;473.479;1793.85;1916.11;1586.35;1119.67;1131.21;1553.58;1681.8;1597.09;985.507;1115.31;1678.54;1175.52;1696.64;1399.36;2082.69;1850.29;6373.55;469.305;2129.79;1576.88;1387.12;940.917;1264.32;2178.9;2394.98;1527.39;1007.2;2501.85;2271.31;1695.65;1165.99;1770.29;648.336;2434.91;1578.9;1271.61;1625.42;2422.43;1570.15;1694.95;1609.13;1046.65;1588.75;1747.96;2036.46;2192.62;864.508;2403.93;877.212;378.08;1630.21;2458.29;1457.75;1141.04;1435.18;1347.77;373.901;2257.51;2274.89;2527.91;1472.79;2323.81;1568.86;1383.55;1293.73;1491.1;1872.22;2013.35;1403.54;2309.03;1602.35;2447.87;2507.38;1607.67;1477.73;1828.17;2441.55;2127.75;1110.7;1106.88;2433.85;2400.23;2350.59;1699.62;991.66;1952.08;1430.83;1500.67;795.25;2442.65;787.94;823.174;1634.83;2533.16;741.371;1650.72;1061.97;1272.83;2442.4;1382.17;13.0082;1079.71;2485.47;2083.22;1599.46;2129.82;1390.42;435.858;863.898;
Tampa;1612.44;3474.12;1610.93;330.906;1471.99;1494.9;1275.24;1312.96;668.607;1894.45;2888.46;4062.85;3857.74;1601.16;3353.41;2116.07;0;2438.75;1607.16;1623.33;1367.85;3380.38;1386.32;3206.16;4020.88;1575.11;3781.18;3801.74;120.803;1500.85;1402.25;1254.05;1619.1;1507.2;1667.32;1353.68;1334.4;1142.07;816.595;1629.8;1747.58;1833.72;270.575;3035.68;996.66;1064.43;1157.2;763.085;942.342;1169.61;1646.83;1691.77;1688.96;1768.66;1523.54;2766.53;2345.94;7537.59;1925.38;1575.02;2418.32;742.549;1320.43;1742.08;73.4317;3615.51;1539.32;1555.25;3821.07;156.477;1807.73;2388.26;586.345;1689.18;3403.6;1807.85;898.071;885.533;3536.8;3055;1715.35;687.817;1457.58;2994.29;1855.53;2852.73;175.031;1523.55;3360.53;1756.73;1818.37;1592.06;3450.76;760.901;1201.44;1457.56;1519.91;1789.83;3656.97;217.639;3838.18;924.822;3272.55;948.536;1766.33;829.929;1453.49;3721.86;207.816;1501.02;193.439;1708.44;3760.85;3545.62;598.278;1613.53;3472.03;3730.37;106.63;1466.46;2424.72;3422.77;3455.03;3379.09;534.747;1421.91;1467.85;887.664;933.964;1675;3424.83;1476.68;1592.31;854.044;3887.02;1647.89;625.392;1132.92;845.147;3483.53;842.575;2108.04;2491.93;3803.15;3183.22;1531.25;48.6952;1197.6;1680.21;1439.88;
Denver;2616.01;1354.64;1462.67;2765.89;1061.53;2525.94;1405.6;2388.32;1934.9;2829.54;941.475;1647.1;1536.9;1843.1;1339.06;1113.79;2438.75;0;2614.63;2625.79;2414.11;1286.68;1265.53;990.368;1584.72;1282.43;1434.58;1499.07;2492.03;1961.09;2112.14;1746.57;2611.21;1234.94;888.683;1597.87;1863.55;2529.16;2174.08;2618.57;1454.28;2808.04;2348.4;608.873;1632.29;1411.54;2383.16;1733.44;2337.15;1668.55;804.856;2669.49;2192;2704.53;1027.78;1003.11;891.076;5382.3;764.224;1625.22;540.86;1751.32;1763.14;2292.29;2476.94;1341.98;2487.84;883.802;1493.64;2568.2;2712.48;99.9793;2353.41;1639.15;1327.14;2604.63;1880.08;1620.58;1339.13;621.231;2690.35;2216.9;1976.47;578.98;2770.85;933.953;2578.11;1802.48;1294.4;692.538;970.485;2598.96;1353.8;2058.93;1239.95;2374.41;1002.96;1340.51;1280.48;2647.26;1516.66;2189.57;1212.3;2309.76;2411.94;1806.09;2427.14;1335.35;2431.55;1047.92;2604.89;2603.18;1434.57;1411.19;2150.21;2461.87;1033.98;1417.28;2497.75;2049.57;14.0321;1328.32;1303.61;1248.14;1908.36;1024.33;1506.5;1553.75;2226.88;1798.81;1336.53;1673.19;1791.06;2336.6;1542.88;1725.73;1822.2;1773.21;1706.01;1344.72;2013.57;1124.48;88.8549;1475.89;983.395;2553.32;2472.5;1282.29;1218.72;1047.17;
Brooklyn;5.33804;3951.89;1154.8;1751.35;2204.91;123.222;2282.43;326.076;1201.31;302.269;3443.88;3872.23;4137.82;785.604;3903.25;1642.72;1607.16;2614.63;0;16.9438;271.871;3874.63;1411.03;3598.1;3930.26;2546.16;4027.51;4106.11;1511.78;654.408;509.674;915.462;14.8882;2432.13;1762.1;1039.31;769.264;471.86;854.085;23.3223;1189.98;248.573;1342.34;3175.63;1222.59;1532.94;461.444;1861.33;674.349;1041.47;2134.75;87.3346;477.084;163.149;2252.78;3409.76;3052.43;7985.43;1852.09;2750.82;2917.51;1385.53;875.217;412.778;1676.73;3955.61;128.93;1972.63;4093.22;1724.34;200.969;2627.71;1022.4;1002.79;3911.58;224.552;1015;1918.97;3950.59;3168.3;113.174;957.799;638.355;3165.32;253.59;3420.46;1535.97;813.837;3874.2;2037.23;1646.77;18.4386;3945.18;981.716;1744.39;251.739;2212.49;1305.02;3860.86;1599.71;4117.82;746.84;3786.11;675.405;322.01;1168.85;210.438;3506.84;1401.26;2239.21;1745.76;116.201;4036.03;4013.39;1083.56;166.545;3464.69;4023.2;1532.46;565.123;2603.49;3918.08;3906.69;3844.85;1646.55;1830.02;2578;1719.84;720.07;848.585;3924.85;941.872;834.364;759.806;4133.69;909.851;1689.38;948.355;1296.37;3946.17;940.335;1629.72;2613.23;4075.97;3587.71;83.6575;1579.77;1986.2;1397;1713.01;
Queens;12.3763;3963.91;1165.31;1766.35;2220.3;140.088;2298.75;342.949;1218.2;285.337;3456.85;3878.34;4148.11;794.683;3915.83;1650.14;1623.33;2625.79;16.9438;0;288.643;3886.82;1424.59;3609.74;3937.32;2562.14;4037.61;4116.64;1527.67;665.084;522.721;929.592;14.6822;2448.03;1774.71;1052.44;782.623;487.174;871.019;12.559;1198.91;231.826;1358.68;3185.67;1238.42;1548.62;478.276;1878.15;691.033;1056.28;2149;70.4167;481.98;146.439;2268.08;3423.35;3066.71;7995.45;1862.96;2767.35;2930.64;1402.21;888.648;414.648;1692.82;3966.54;142.54;1986.82;4103.48;1740.15;184.553;2639.36;1038.72;1011.46;3923.85;213.116;1031.5;1935.65;3962.11;3178.1;96.2303;974.618;649.883;3175.64;236.717;3433.55;1551.52;824.369;3886.54;2050.38;1657.49;34.9824;3957.33;998.645;1759.8;266.21;2227.68;1314.08;3870.73;1615.02;4128.12;763.783;3798.51;692.198;320.303;1185.41;226.138;3513.07;1417.32;2254.57;1761.45;105.596;4046.36;4025.29;1100.45;172.612;3473.04;4033.68;1548.35;576.561;2614.69;3930.25;3918.54;3856.85;1663.49;1844.52;2594.42;1736.32;737.005;856.609;3937.05;953.392;843.802;776.387;4143.71;918.69;1706.27;963.546;1312.8;3958.08;957.163;1637.14;2623.94;4086.25;3599.46;100.506;1595.8;2002.13;1407.84;1727.05;
Baltimore;276.285;3736.42;975.8;1540.41;1945.63;148.87;2013.05;56.4343;930.195;573.275;3215.41;3745.28;3947.04;643.93;3679.82;1506.76;1367.85;2414.11;271.871;288.643;0;3656.68;1179.61;3388.37;3788.4;2279.87;3839.85;3912.03;1279.94;492.212;313.383;679.814;278.973;2166.67;1543.14;818.612;550.579;290.287;588.724;290.127;1036.78;520.444;1098.99;2990.5;959.081;1270.72;211.21;1589.59;425.54;793.429;1890.49;357.932;441.527;430.315;1994.5;3172.84;2806.53;7795.43;1659.35;2479.83;2687.69;1113.81;652.375;437.617;1439.2;3755.73;173.289;1729.56;3902.99;1493.82;464.25;2419.91;781.938;858.784;3692.53;442.151;744.463;1647.23;3742.14;2986.55;384.2;699.446;461.116;2976.02;521.838;3190.56;1312.81;644.76;3654.21;1808.94;1457.82;253.668;3727.87;711.889;1485.24;110.307;1955.64;1147.15;3676.8;1382.04;3926.9;479.183;3565.31;421.099;417.263;897.86;86.2231;3378.86;1165.63;1980.21;1518.05;349.929;3844.85;3799.56;821.343;246.903;3304.29;3829.7;1300.66;396.236;2402.36;3700.43;3693.62;3629.65;1377.03;1582.97;2307.74;1449.22;455.17;722.082;3706.76;750.716;683.814;513.81;3947.07;766.45;1418.31;695.061;1026.3;3732.28;668.622;1494;2419.5;3885.48;3376.47;188.269;1344.22;1720.67;1208.91;1472.91;
Riverside;3876.44;95.2886;2734.97;3677.14;1916.72;3778.44;2124.26;3625.02;3031.6;4103.82;492.139;1576.22;622.121;3117.73;125.649;2393.4;3380.38;1286.68;3874.63;3886.82;3656.68;0;2479.21;320.298;1365;1849.81;630.956;549.375;3463.99;3226.76;3366.22;2977.73;3872.45;1890.42;2114.26;2839.58;3109.98;3734.86;3331.83;3880.47;2736.92;4078.98;3370.25;900.45;2785.82;2507.3;3598.25;2617.37;3517.81;2878.02;1822.29;3934.76;3469.25;3974.54;1863.36;638.802;1049.16;4192.82;2042.26;2027.32;992.727;2819.12;3005.71;3570.99;3396.92;383.94;3746.27;1967.71;610.689;3475.92;3984.99;1255.01;3458.56;2919.51;43.7484;3880.39;3041.59;2494.85;217.462;940.667;3956.76;3346.14;3237.78;866.702;4044.61;528.635;3545.08;3070.5;44.8712;1851.56;2247.44;3858.17;72.2493;3199.54;2294.69;3628.44;1874.89;2624.35;661.09;3598;609.957;3369.6;109.521;3492.38;3689.8;2935.66;3678.99;1526.6;3435.52;1885.38;3507.4;3872.18;570.759;167.094;3253.93;3727.83;1079.11;524.414;3463.58;3311.19;1295.48;44.0816;110.416;65.6693;2858.53;2123.85;2027.98;2530.3;3408.4;3078.45;50.2595;2935;3065.04;3500.41;691.46;3003.69;2765.94;2982.35;2814.56;114.628;3171.63;2404.66;1313.75;598.825;315.395;3808.45;3423.31;2196.95;2490.88;2203.86;
Saint Louis;1413.45;2560.36;416.979;1710.17;876.197;1307.18;1091.3;1146.25;752.37;1667.61;2036.03;2764.3;2800.93;733.263;2500.39;746.741;1386.32;1265.53;1411.03;1424.59;1179.61;2479.21;0;2217.99;2761.01;1271.54;2700;2760.64;1396.99;793.967;902.572;499.815;1410.71;1153.4;376.883;375.266;642.181;1266.15;919.027;1419.68;528.307;1633.49;1211.02;1865.42;410.47;393.362;1123.46;953.059;1072.44;403.874;734.633;1479.06;1069.31;1528.63;913.177;1998.76;1649.01;6639.52;574.389;1568.73;1508.53;646.817;536.052;1173.31;1445.61;2596.31;1282.16;572.333;2758.09;1539.28;1545.8;1257.68;1130.37;616.712;2514.49;1455.24;630.656;914.67;2572.14;1869.44;1502.93;979.806;792.204;1841.94;1607.95;2011.57;1479.66;658.547;2475.78;629.343;434.152;1393.7;2550.68;819.041;473.839;1160.34;864.721;499.431;2545.28;1559.93;2780.67;925.587;2386.61;1044.84;1281.36;595.827;1208.04;2406.9;1306.18;906.034;1577.39;1425.81;2698.67;2624.59;939.678;1277.46;2235.7;2679.73;1409.18;863.238;1252.74;2523.08;2519.41;2453.92;952.904;448.723;1382.75;702.703;962.418;735.797;2529.17;513.646;683.435;1076.46;2808.35;659.642;905.923;508.876;542.979;2557.36;762.151;740.657;1286.02;2740.26;2204.57;1339.55;1404.61;757.369;326.185;311.599;
Las Vegas;3599.68;370.221;2450.34;3514.05;1734.18;3505.65;1981.84;3359.24;2810.54;3818.7;413.395;1393.58;659.899;2831.94;414.517;2086.12;3206.16;990.368;3598.1;3609.74;3388.37;320.298;2217.99;0;1205.89;1731.21;606.664;598.688;3282.18;2946.49;3092.09;2712.58;3595.24;1752.99;1846.34;2569.76;2838.89;3481.8;3094.01;3602.91;2444.65;3796.14;3173.59;582.787;2545.86;2280.99;3341.22;2447.73;3273.11;2620.5;1599.57;3655.33;3181.74;3692.25;1682.94;606.264;947.685;4426.3;1753.17;1957.9;787.879;2604.24;2736.02;3282.36;3228.77;409.804;3470.44;1734.46;628.283;3311.9;3701.06;970.385;3238.03;2629.35;363.984;3594.13;2800.93;2325.15;354.151;624.827;3676.68;3117.49;2959.86;546.845;3759.84;450.967;3365.38;2788.74;343.906;1597.71;1959.34;3582.04;377.267;2966.45;2075.75;3354.71;1686.76;2330.81;546.12;3423.28;641.376;3124.51;291.216;3246.9;3401.88;2704.11;3406.39;1284.33;3244.48;1705.53;3345.11;3590.47;570.544;421.842;3032.51;3447.85;823.827;533.747;3283.48;3033.2;1000.3;355.663;314.366;267.939;2675.82;1890.35;1929.22;2335.56;3162.96;2788.93;365.808;2656.37;2779.65;3261.38;702.624;2715.47;2583.55;2725.42;2588.13;356.327;2932.85;2097.63;1009.09;611.164;31.2413;3534.39;3246.99;2010.08;2206;1956.89;
Portland;3930.12;1320.37;2818.53;4349.17;2625.22;3869.17;2946.58;3776.83;3484.94;4073.62;1606.19;233.051;865.378;3152.5;1490.04;2288.1;4020.88;1584.72;3930.26;3937.32;3788.4;1365;2761.01;1205.89;0;2759.05;781.175;918.156;4069.86;3298.43;3475.07;3183.04;3922.85;2744.5;2402.98;3025.57;3262.02;3964.92;3677.32;3927.46;2752.15;4070.23;3917.07;1016.66;3160.48;2977.05;3811.08;3315.95;3812.08;3141.98;2388.01;3963.26;3459.34;3976.62;2584.77;1799.52;2065.34;4175.77;2190.24;3049.16;1779.1;3317.18;3176.96;3543.14;4060.6;1002.12;3815.48;2466.03;842.899;4152.26;3972.25;1644.67;3888.03;2934.25;1392.94;3853.28;3391.64;3201.11;1172.66;986.177;3978.55;3740.39;3327.37;1070.82;4020.99;1640.23;4156.05;3143.66;1409.51;2265.39;2367.77;3917.99;1359.27;3579.66;2819.7;3721.65;2568.08;2641.27;704.11;4227.1;862.164;3671.07;1421.54;3783.61;3660.08;3342.87;3777.5;463.474;4003.65;2606.46;4189.09;3885.43;847.967;1294.99;3690.94;3764.75;551.954;888.979;4076.51;3394.3;1598.71;1363.23;1263.84;1303.84;3492.36;2600.43;2978.46;3137.95;3705.27;3083.35;1373.55;3046.15;3108.09;3828.56;788.463;3027.68;3406.72;3240.93;3257.24;1285.78;3522.61;2301.07;1528.95;843.412;1236.5;3887.51;4053.46;2862.94;2602.44;2601.92;
San Antonio;2549.9;1945.05;1684.92;1848.12;405.468;2426.54;304.94;2231.17;1416.47;2836.06;1362.83;2868.38;2390.01;1991.06;1806.2;1783.31;1575.11;1282.43;2546.16;2562.14;2279.87;1849.81;1271.54;1731.21;2759.05;0;2335.14;2326.08;1673.6;2020.19;2077.22;1673.87;2550.32;118.484;1133.17;1608.08;1834.54;2237.56;1777.28;2560.89;1779.93;2790.55;1625.51;1747.1;1324.43;1018;2141.08;832.121;1986.54;1530.1;673.359;2627.17;2302.16;2690.67;384.645;1216.06;800.793;5965.52;1329.96;361.273;986.852;1198.75;1737.08;2402.19;1579.62;2134.96;2424.84;779.51;2359.43;1650.61;2716.52;1191.08;1802.49;1888.01;1867.34;2647.2;1540.67;720.247;2028.85;1783.19;2653.18;1738.97;2005.5;1689.95;2778.8;1324.57;1747.76;1908.77;1824.23;920.239;1416.42;2527.73;1917.01;1631.55;823.424;2301.43;436.662;1717.91;2243.86;1789.17;2371.87;1855.76;1740.31;1968.4;2497.22;1392.9;2336.15;2592.19;1670.6;382.831;1679.17;2593.01;2301.71;2016.9;1618.19;2447.62;2220.34;2264.67;1669.19;2067.61;1271.11;1889.92;1936.45;1859.06;1096.96;839.096;224.763;853.541;1892.63;2003.66;1890.31;1768.85;1944.49;1936.76;2433.57;1929.13;1010.11;1609.05;1260.14;1959.43;1641.09;1785.41;1367.03;2342.36;1703.9;2464.64;1621.47;560.322;1521.25;986.3;
Sacramento;4028.47;565.898;2873.28;4095.11;2313.62;3945.43;2578.66;3816.62;3345.26;4221.73;1008.64;1009.18;124.032;3244.96;748.583;2430.56;3781.18;1434.58;4027.51;4037.61;3839.85;630.956;2700;606.664;781.175;2335.14;0;144.548;3851.4;3373.58;3533.15;3178.92;4022.93;2352.48;2323.12;3028.13;3290.43;3963.39;3604.03;4029.56;2843.78;4206.21;3731.03;852.045;3058.45;2814.95;3816.64;3029.4;3770.91;3103.13;2148.24;4076.44;3584.49;4104.94;2264.23;1194.7;1554.27;3957.97;2180.57;2564.09;1372.3;3147.76;3192.18;3680.22;3807.69;247.034;3902.97;2268.59;80.8543;3893.07;4108.85;1447.91;3770.04;3031.99;648.876;3995.91;3309.58;2907.5;417.572;862.242;4095.78;3640.14;3393.01;863.832;4164.53;1047.61;3935.82;3214.02;675.278;2106.32;2383.42;4012.66;606.794;3484.39;2620.72;3793.73;2263.12;2728;177.513;3997.09;108.305;3623.02;713.528;3743.65;3800.57;3226.67;3847.64;1063.21;3806.47;2286.91;3927.2;4005.86;67.034;527.27;3564.95;3869.59;710.976;111.071;3853.97;3465.2;1447.29;617.392;521.293;580.203;3247.52;2421.27;2535.28;2900.42;3660.56;3190.95;626.078;3092.13;3194.65;3768.17;108.523;3122.87;3156.05;3207.78;3118.45;532.381;3442.95;2443.14;1421.19;71.3359;635.638;3970.73;3820.38;2583.85;2633.33;2467.98;
San Jose;4107.24;471.327;2951.34;4111.38;2330.3;4021.09;2580.24;3887.03;3387.3;4307.35;975.913;1148.11;72.8098;3326.44;657.149;2524.94;3801.74;1499.07;4106.11;4116.64;3912.03;549.375;2760.64;598.688;918.156;2326.08;144.548;0;3875.81;3451.71;3607.8;3245.56;4101.99;2350.79;2384.25;3096.83;3361.67;4026.4;3656.51;4108.9;2927.64;4290.07;3762.27;939.016;3109.16;2856.58;3881.48;3044.9;3828.11;3164.47;2181.89;4157.3;3669.18;4188;2279.57;1153.26;1533.88;3883.5;2254.98;2537.78;1384.12;3185.54;3261.89;3766.26;3825.5;191.227;3980.56;2309;75.7542;3909.21;4193.14;1503.42;3813.72;3115.52;559.177;4081.51;3362.18;2922.43;332.292;955.309;4177.19;3687.67;3469.57;942.421;4249.67;1015.19;3959.48;3292.29;591.503;2156.07;2459.57;4090.92;512.142;3533.64;2657.07;3869.38;2281.83;2811.97;304.672;4018.55;63.2701;3679.78;644.364;3801.19;3886.61;3273.72;3922.75;1207.57;3835.21;2302.2;3942.64;4088.1;88.7037;420.857;3608.24;3949.99;845.953;83.4441;3877.57;3542.21;1511.21;527.694;439.61;508.811;3270.04;2463.41;2519.64;2926.84;3717.69;3275.01;534.707;3167.35;3275.52;3822.07;147.871;3205.47;3177.99;3269.41;3162.11;440.512;3495.19;2537.36;1493.45;75.4335;624.144;4047.37;3842.06;2604.55;2709.54;2517.99;
