40.6943,-73.9249,40.6501,-73.9496,5.33804
40.6943,-73.9249,40.7834,-73.9662,10.5007
40.6943,-73.9249,40.7498,-73.7976,12.3763
34.1139,-118.407,34.4155,-118.499,34.5947
34.1139,-118.407,33.8059,-118.161,41.0712
41.8373,-87.6861,43.064,-87.9669,138.334
25.784,-80.2102,27.2796,-80.3883,167.244
32.7937,-96.7662,32.6998,-97.125,35.1428
32.7937,-96.7662,32.4659,-93.7959,280.523
40.0076,-75.134,40.2237,-74.764,39.5896
40.0076,-75.134,40.5961,-75.4756,71.5633
29.7868,-95.3905,30.3006,-97.7517,234.343
38.9047,-77.0163,39.3051,-76.6144,56.4343
38.9047,-77.0163,37.5295,-77.4756,158.092
33.7626,-84.4228,35.0657,-85.2488,163.512
42.3188,-71.0846,42.2705,-71.8079,59.7333
33.5722,-112.089,33.4017,-111.718,39.2834
33.5722,-112.089,36.0145,-115.036,382.285
47.6211,-122.324,45.5372,-122.65,233.051
47.6211,-122.324,47.6671,-117.433,366.418
37.7562,-122.443,37.7903,-122.216,20.2656
37.7562,-122.443,38.4465,-122.706,80.1333
37.7562,-122.443,21.3294,-157.846,3848.8
42.3834,-83.1024,42.2755,-83.7312,53.0644
42.3834,-83.1024,41.4767,-81.6805,154.917
32.8312,-117.123,33.5719,-117.191,82.6069
44.9635,-93.2678,44.9477,-93.104,13.0082
27.9937,-82.4454,28.0557,-81.9543,48.6952
27.9937,-82.4454,27.3391,-82.5439,73.4317
39.7621,-104.876,39.7084,-104.727,14.0321
39.7621,-104.876,40.5479,-105.066,88.8549
40.6501,-73.9496,40.5834,-74.1496,18.4386
39.3051,-76.6144,40.0421,-76.3012,86.2231
33.9381,-117.395,33.6095,-117.655,43.7484
33.9381,-117.395,34.5277,-117.354,65.6693
38.6358,-90.2451,37.1943,-93.2915,311.599
36.2291,-115.261,36.0145,-115.036,31.2413
29.4722,-98.5247,30.3006,-97.7517,118.484
29.4722,-98.5247,27.7173,-97.3822,224.763
38.5667,-121.468,37.9766,-121.311,67.034
38.5667,-121.468,39.5497,-119.848,177.513
